date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:57	37149/37149	---M-Z	200	added ('OK')	text/html	etag:W/%22911d-199d3891340%22	https://aptiskey.com/	C:/clone_site/minihippo_cloning/aptiskey.com/index.html	(from )
15:01:57	149/149	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2031%20Oct%202025%2008:01:57%20GMT	https://aptiskey.com/robots.txt		(from )
15:01:57	10462/10462	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2024%20Jul%202025%2007:48:54%20GMT	https://aptiskey.com/images/favicon.ico	C:/clone_site/minihippo_cloning/aptiskey.com/images/favicon.ico	(from https://aptiskey.com/)
15:01:57	3367/3367	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20Sep%202025%2016:36:28%20GMT	https://aptiskey.com/js/home.js	C:/clone_site/minihippo_cloning/aptiskey.com/js/home.js	(from https://aptiskey.com/)
15:01:58	362183/362183	---M-Z	200	added ('OK')	text/css	date:Sat,%2016%20Aug%202025%2006:47:42%20GMT	https://aptiskey.com/css/adminlte/adminlte.css	C:/clone_site/minihippo_cloning/aptiskey.com/css/adminlte/adminlte.css	(from https://aptiskey.com/)
15:01:58	2770/2770	---MCZ	200	added ('OK')	text/css	etag:W/%22ad2-dPui/DdP92UDBG6Mc5kDY4XlTpk%22	https://cdn.jsdelivr.net/npm/@fontsource/source-sans-3@5.0.12/index.css	C:/clone_site/minihippo_cloning/cdn.jsdelivr.net/npm/@fontsource/source-sans-3@5.0.12/index.css	(from https://aptiskey.com/)
15:01:59	13202/13202	---MCZ	200	added ('OK')	text/css	etag:W/%223392-w4F3sJPTRi/jcpjXUZdij9SL3Kw%22	https://cdn.jsdelivr.net/npm/overlayscrollbars@2.11.0/styles/overlayscrollbars.min.css	C:/clone_site/minihippo_cloning/cdn.jsdelivr.net/npm/overlayscrollbars@2.11.0/styles/overlayscrollbars.min.css	(from https://aptiskey.com/)
15:02:00	87008/87008	---MCZ	200	added ('OK')	text/css	etag:W/%22153e0-rp/p6DPa9owjeUXpre5bfzVHjRk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/bootstrap-icons.min.css	C:/clone_site/minihippo_cloning/cdn.jsdelivr.net/npm/bootstrap-icons@1.13.1/font/bootstrap-icons.min.css	(from https://aptiskey.com/)
15:02:00	14703/14703	---MCZ	200	added ('OK')	text/css	etag:W/%22396f-22VTn+d9E9kMYduQg71nvxVEFSA%22	https://cdn.jsdelivr.net/npm/apexcharts@3.37.1/dist/apexcharts.css	C:/clone_site/minihippo_cloning/cdn.jsdelivr.net/npm/apexcharts@3.37.1/dist/apexcharts.css	(from https://aptiskey.com/)
15:02:01	2144/2144	---MCZ	200	added ('OK')	text/css	etag:W/%22860-DRX0a5A/RsAmscOz4QD8IDifUv0%22	https://cdn.jsdelivr.net/npm/jsvectormap@1.5.3/dist/css/jsvectormap.min.css	C:/clone_site/minihippo_cloning/cdn.jsdelivr.net/npm/jsvectormap@1.5.3/dist/css/jsvectormap.min.css	(from https://aptiskey.com/)
15:02:02	162849/162849	---MCZ	200	added ('OK')	text/javascript	etag:14432184723227216598	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-4940447633722822	C:/clone_site/minihippo_cloning/pagead2.googlesyndication.com/pagead/js/fddf6.txt	(from https://aptiskey.com/)
15:02:02	37149/37149	---M-Z	200	added ('OK')	text/html	etag:W/%22911d-199d3891340%22	https://aptiskey.com/home.html	C:/clone_site/minihippo_cloning/aptiskey.com/home.html	(from https://aptiskey.com/)
15:02:02	8118/8118	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Aug%202025%2006:47:42%20GMT	https://aptiskey.com/images/assets/img/avatar.png	C:/clone_site/minihippo_cloning/aptiskey.com/images/assets/img/avatar.png	(from https://aptiskey.com/)
15:02:03	9246/9246	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Aug%202025%2006:47:42%20GMT	https://aptiskey.com/images/assets/img/avatar3.png	C:/clone_site/minihippo_cloning/aptiskey.com/images/assets/img/avatar3.png	(from https://aptiskey.com/)
15:02:04	13543/13543	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Aug%202025%2006:47:42%20GMT	https://aptiskey.com/images/assets/img/avatar4.png	C:/clone_site/minihippo_cloning/aptiskey.com/images/assets/img/avatar4.png	(from https://aptiskey.com/)
15:02:04	7587/7587	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Aug%202025%2006:47:42%20GMT	https://aptiskey.com/images/assets/img/avatar5.png	C:/clone_site/minihippo_cloning/aptiskey.com/images/assets/img/avatar5.png	(from https://aptiskey.com/)
15:02:05	2637/2637	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Aug%202025%2006:47:42%20GMT	https://aptiskey.com/images/assets/img/AdminLTELogo.png	C:/clone_site/minihippo_cloning/aptiskey.com/images/assets/img/AdminLTELogo.png	(from https://aptiskey.com/)
15:02:05	29010/29010	---M-Z	200	added ('OK')	text/html	etag:W/%227152-19999673d40%22	https://aptiskey.com/reading_question.html	C:/clone_site/minihippo_cloning/aptiskey.com/reading_question.html	(from https://aptiskey.com/)
15:02:06	30697/30697	---M-Z	200	added ('OK')	text/html	etag:W/%2277e9-199d929d730%22	https://aptiskey.com/reading_bode.html	C:/clone_site/minihippo_cloning/aptiskey.com/reading_bode.html	(from https://aptiskey.com/)
15:02:06	29973/29973	---M-Z	200	added ('OK')	text/html	etag:W/%227515-199996b4c50%22	https://aptiskey.com/reading_meo.html	C:/clone_site/minihippo_cloning/aptiskey.com/reading_meo.html	(from https://aptiskey.com/)
15:02:07	29054/29054	---M-Z	200	added ('OK')	text/html	etag:W/%22717e-1999966c810%22	https://aptiskey.com/listening_question.html	C:/clone_site/minihippo_cloning/aptiskey.com/listening_question.html	(from https://aptiskey.com/)
15:02:07	32013/32013	---M-Z	200	added ('OK')	text/html	etag:W/%227d0d-19999668990%22	https://aptiskey.com/listening_bode.html	C:/clone_site/minihippo_cloning/aptiskey.com/listening_bode.html	(from https://aptiskey.com/)
15:02:08	31383/31383	---M-Z	200	added ('OK')	text/html	etag:W/%227a97-1999966a8d0%22	https://aptiskey.com/listening_meo.html	C:/clone_site/minihippo_cloning/aptiskey.com/listening_meo.html	(from https://aptiskey.com/)
15:02:08	39126/39126	---M-Z	200	added ('OK')	text/html	etag:W/%2298d6-19999678390%22	https://aptiskey.com/writing_bode.html	C:/clone_site/minihippo_cloning/aptiskey.com/writing_bode.html	(from https://aptiskey.com/)
15:02:09	14859/14859	---M-Z	200	added ('OK')	text/html	etag:W/%223a0b-19999679330%22	https://aptiskey.com/writing_meo.html	C:/clone_site/minihippo_cloning/aptiskey.com/writing_meo.html	(from https://aptiskey.com/)
15:02:09	29006/29006	---M-Z	200	added ('OK')	text/html	etag:W/%22714e-199996773f0%22	https://aptiskey.com/speaking_question.html	C:/clone_site/minihippo_cloning/aptiskey.com/speaking_question.html	(from https://aptiskey.com/)
15:02:10	31212/31212	---M-Z	200	added ('OK')	text/html	etag:W/%2279ec-19999675c80%22	https://aptiskey.com/speaking_meo.html	C:/clone_site/minihippo_cloning/aptiskey.com/speaking_meo.html	(from https://aptiskey.com/)
15:02:11	29400/29400	---M-Z	200	added ('OK')	text/html	etag:W/%2272d8-1999965ddb0%22	https://aptiskey.com/donate.html	C:/clone_site/minihippo_cloning/aptiskey.com/donate.html	(from https://aptiskey.com/)
15:02:11	29037/29037	---M-Z	200	added ('OK')	text/html	etag:W/%22716d-199d223c680%22	https://aptiskey.com/reading_question_cu.html	C:/clone_site/minihippo_cloning/aptiskey.com/reading_question_cu.html	(from https://aptiskey.com/)
15:02:12	32282/32282	---M-Z	200	added ('OK')	text/html	etag:W/%227e1a-199d232ca40%22	https://aptiskey.com/reading_bode_cu.html	C:/clone_site/minihippo_cloning/aptiskey.com/reading_bode_cu.html	(from https://aptiskey.com/)
15:02:12	30449/30449	---M-Z	200	added ('OK')	text/html	etag:W/%2276f1-199996604c0%22	https://aptiskey.com/grammar_bode.html	C:/clone_site/minihippo_cloning/aptiskey.com/grammar_bode.html	(from https://aptiskey.com/)
15:02:13	22140/22140	---M-Z	200	added ('OK')	text/html	etag:W/%22567c-19999662bd0%22	https://aptiskey.com/grammar_meo.html	C:/clone_site/minihippo_cloning/aptiskey.com/grammar_meo.html	(from https://aptiskey.com/)
15:02:13	29334/29334	---MCZ	200	added ('OK')	application/javascript	etag:W/%227296-94BuVDZxK3acnYMdrOsdOGw2fxQ%22	https://cdn.jsdelivr.net/npm/overlayscrollbars@2.11.0/browser/overlayscrollbars.browser.es6.min.js	C:/clone_site/minihippo_cloning/cdn.jsdelivr.net/npm/overlayscrollbars@2.11.0/browser/overlayscrollbars.browser.es6.min.js	(from https://aptiskey.com/)
15:02:14	20122/20122	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e9a-hx1u8QcL02PqOQ4MjDhOR9zn84k%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.11.8/dist/umd/popper.min.js	C:/clone_site/minihippo_cloning/cdn.jsdelivr.net/npm/@popperjs/core@2.11.8/dist/umd/popper.min.js	(from https://aptiskey.com/)
15:02:14	60775/60775	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed67-GqUfEwjYjpRXwQQQnH0WgFruZ+0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.7/dist/js/bootstrap.min.js	C:/clone_site/minihippo_cloning/cdn.jsdelivr.net/npm/bootstrap@5.3.7/dist/js/bootstrap.min.js	(from https://aptiskey.com/)
